MRN No,Order Ref,Receipt Dt,Qty Received,Qty Ordered
GRN-5001,PO-2003,14/04/2025,100,100
GRN-5002,PO-2006,27/07/2025,100,100
GRN-5003,PO-2009,19/09/2025,100,100
GRN-5004,PO-2012,27/03/2026,100,100
GRN-5005,PO-2015,26/01/2026,100,100
GRN-5006,PO-2018,30/12/2025,100,100
GRN-5007,PO-2021,05/05/2026,100,100
GRN-5008,PO-2024,03/05/2025,100,100
GRN-5009,PO-2027,02/07/2025,100,100
GRN-5010,PO-2030,02/12/2025,100,100
GRN-5011,PO-2033,14/08/2025,100,100
GRN-5012,PO-2036,09/04/2025,100,100
GRN-5013,PO-2039,19/01/2026,100,100
GRN-5014,PO-2042,07/12/2025,100,100
GRN-5015,PO-2045,05/01/2026,100,100
GRN-5016,PO-2048,11/07/2026,100,100
GRN-5017,PO-2051,22/08/2025,100,100
GRN-5018,PO-2054,07/12/2025,100,100
GRN-5019,PO-2057,25/07/2025,100,100
GRN-5020,PO-2060,01/08/2026,100,100
GRN-5021,PO-2063,11/06/2025,100,100
GRN-5022,PO-2066,02/04/2026,100,100
GRN-5023,PO-2069,05/06/2026,100,100
GRN-5024,PO-2072,05/04/2025,100,100
GRN-5025,PO-2075,25/01/2026,100,100
GRN-5026,PO-2078,27/07/2025,100,100
GRN-5027,PO-2081,24/10/2025,100,100
GRN-5028,PO-2084,22/05/2025,100,100
GRN-5029,PO-2087,21/01/2026,100,100
GRN-5030,PO-2090,17/05/2025,100,100
GRN-5031,PO-2093,03/08/2025,100,100
GRN-5032,PO-2096,20/06/2025,100,100
GRN-5033,PO-2099,12/04/2026,100,100
GRN-5034,PO-2102,14/01/2026,100,100
GRN-5035,PO-2105,20/08/2025,100,100
GRN-5036,PO-2108,25/07/2025,100,100
GRN-5037,PO-2111,16/07/2026,100,100
GRN-5038,PO-2114,16/09/2025,100,100
GRN-5039,PO-2117,10/05/2026,100,100
GRN-5040,PO-2120,26/10/2025,100,100
GRN-5041,PO-2123,31/03/2025,100,100
GRN-5042,PO-2126,02/01/2026,100,100
GRN-5043,PO-2129,22/07/2025,100,100
GRN-5044,PO-2132,30/09/2025,100,100
GRN-5045,PO-2135,22/03/2026,100,100
GRN-5046,PO-2138,25/08/2025,100,100
GRN-5047,PO-2141,01/09/2025,100,100
GRN-5048,PO-2144,19/07/2025,100,100
GRN-5049,PO-2147,11/06/2026,100,100
GRN-5050,PO-2150,17/05/2025,100,100
GRN-5051,PO-2153,31/03/2025,100,100
GRN-5052,PO-2156,31/01/2026,100,100
GRN-5053,PO-2159,17/06/2025,100,100
GRN-5054,PO-2162,22/05/2026,100,100
GRN-5055,PO-2165,10/04/2025,100,100
GRN-5056,PO-2168,05/04/2025,100,100
GRN-5057,PO-2171,04/04/2026,100,100
GRN-5058,PO-2174,28/06/2025,100,100
GRN-5059,PO-2177,26/03/2025,100,100
GRN-5060,PO-2180,18/04/2025,100,100
GRN-5061,PO-2183,16/07/2025,100,100
GRN-5062,PO-2186,09/03/2026,100,100
GRN-5063,PO-2189,23/12/2025,100,100
GRN-5064,PO-2192,09/09/2025,100,100
GRN-5065,PO-2195,21/02/2026,100,100
GRN-5066,PO-2198,23/05/2025,100,100
