Doc Ref,Particulars,Qty,UOM,Rate,HSN/SAC,Tax %
INV-3007,Blue ball pen,35,nos,5.49,9608,0.18
INV-3014,PEN BALL BLUE 0.7,182,nos,5.54,9608,0.18
INV-3021,CABLE CU 4SQMM FRLS,65,m,74.14,8544,0.18
INV-3028,LAPTOP i5 16GB 512 SSD,123,nos,63617.86,8471,0.18
INV-3035,HK CONSUMABLES KIT,176,nos,1939.28,3402,0.18
INV-3042,DG SET SERVICE VISIT,120,visit,8356.5,9987,0.18
INV-3049,GLOVES COTTON,151,pair,41.67,6116,0.18
INV-3056,Housekeeping consumable set,68,nos,2003.24,3402,0.18
INV-3063,FTL MDU-MAA,28,trip,21223.04,9965,0.18
INV-3070,CRR-5KG,40,nos,187.3,9968,0.18
INV-3077,AC PM VISIT,159,visit,14769.91,9987,0.18
INV-3084,Copper wire 4 sq.mm FRLS,184,m,74.37,8544,0.18
INV-3091,HR COIL 2.5MM,103,kg,56.42,7208,0.18
INV-3098,SWITCH 24P GIG MANAGED,14,nos,27685.41,8517,0.18
INV-3105,CORRUGATED BOX 5PLY,130,nos,39.88,4819,0.18
INV-3112,HELMET SAFETY ISI,155,nos,315.86,6506,0.18
INV-3119,24 inch LED display 1080p IPS,45,nos,9007.71,8528,0.18
INV-3126,Truck full load Madurai Chennai,200,trip,21189.04,9965,0.18
INV-3133,CU-CBL-4SQMM,159,m,72.87,8544,0.18
INV-3140,Aircon servicing,13,visit,14351.82,9987,0.18
INV-3147,Enamel paint 20 litre,195,nos,4554.66,3208,0.18
INV-3154,TRANSPORT MDU>CHN,17,trip,21898.03,9965,0.18
INV-3161,24-PORT L2 SWITCH,143,nos,27727.44,8517,0.18
INV-3168,SITE MAINTENANCE MONTHLY,197,month,83387.45,9985,0.18
INV-3175,TRANSPORT MDU>CHN,80,trip,21628.73,9965,0.18
INV-3182,Notebook computer intel i5,159,nos,63813.1,8471,0.18
INV-3189,LIGHT-LED-36W,131,nos,1060.31,9405,0.18
INV-3196,Professional retainer compliance,95,month,149342.63,9982,0.18
INV-3203,CABLE CU 4SQMM FRLS,16,m,75.38,8544,0.18
INV-3210,HELMET SAFETY ISI,89,nos,300.98,6506,0.18
INV-3217,Facility upkeep monthly,20,month,81481.87,9985,0.18
